Prompt_Id,Reply_Id,condition,reply_text
P01,R01_A,A,Could you please provide more details about the nature of your question? I'll do my best to assist you.
P01,R01_B,B,"Thank you for choosing Temu! How can I help you today? If you're having an issue, please select the option that best matches your concern so we can assist right away."
P02,R02_A,A,"Open Your Orders and select the item, then choose “Problem with order” to request a replacement or refund per policy."
P02,R02_B,B,We're sorry about the mix-up. Please tap Select order to confirm the affected order; we'll guide you to a free replacement or refund as quickly as possible.
P03,R03_A,A,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from a third?party seller, you can request a home pickup."
P03,R03_B,B,We sincerely regret the inconvenience. Please confirm the order you're referring to via Select order; we'll arrange a replacement or refund immediately after verification.
P04,R04_A,A,"Check the shipment status in Your Orders. If it shows delivered but you didn't receive it, select “Item not received” to start a claim."
P04,R04_B,B,We understand you haven't received your package and we're here to help. Click Select order so we can identify the correct parcel and investigate with the carrier.
P05,R05_A,A,"Track your order in Your Orders for the latest delivery estimate. If a delivery option appears, follow the prompts or contact the carrier."
P05,R05_B,B,We've marked your issue as urgent. I'll look into the logistics to expedite it. Please Select order so we can push the right shipment and keep you updated.
P06,R06_A,A,"I'm sorry to hear you've had a frustrating experience. If your package never arrived or the item is faulty, you can request a refund through Your Orders or contact customer service for further assistance."
P06,R06_B,B,"We apologize for the inconvenience and we're committed to helping. Please Select order to start the refund quickly, we'll address your concerns thoughtfully."
P07,R07_A,A,"Amazon typically offers a 30?day return period, which may vary by category. For exceptions, please contact customer service with your specific situation."
P07,R07_B,B,We're sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
P08,R08_A,A,"If available, choose Change delivery on the order's shipment page or contact the carrier. Some shipments can't be changed once processing begins."
P08,R08_B,B,"If your order isn't packed yet, go to Your Orders, open the order, tap Edit to update the address/phone/ZIP. If it's already packed or shipped, we'll help contact the carrier to request a reroute."
P09,R09_A,A,"You can cancel from Your Orders if the item hasn't entered the shipping process yet. If cancellation isn't available, you can refuse delivery or return the item."
P09,R09_B,B,"Open Your Orders, choose the order, and tap Cancel items. If packing has started, we'll try our best or help you return it for a fast refund."
P10,R10_A,A,"If upgrade options are available, you'll see them at checkout or under Delivery options in Your Orders."
P10,R10_B,B,"I know you're eager to receive it. To upgrade, sign in, go to Your orders, select the order, tap Need to change shipping speed (if shown), then submit. You'll be redirected to pay for express delivery."
P11,R11_A,A,"Return eligibility depends on item category and timing. Start a return in Your Orders; if an exception is possible, the system or support will advise."
P11,R11_B,B,We're sorry for the inconvenience. Please Select order so we can review the timeline and try to find the best solution for you.
P12,R12_A,A,"Start a return or replacement from Your Orders and select the desired size or color, if available."
P12,R12_B,B,Happy to help with an exchange. Please Select order and choose the new size/color; we'll process it as soon as the return is confirmed.
P13,R13_A,A,"Open Your Orders, select the item, and choose “Wrong or damaged packaging/Partial refund” and upload photos. We'll review per policy."
P13,R13_B,B,Sorry about the packaging. Select order and upload a quick photo; we'll review and issue a partial refund or other solution where eligible.
P14,R14_A,A,Price?match isn't available for most items. Check the product's policy and return options in Your Orders if eligible.
P14,R14_B,B,Thanks for checking. Please share the order via Select order; we'll review the purchase window and advise on available options.
P15,R15_A,A,"At checkout, confirm code eligibility and expiration. If it still won't apply, try a different payment method or contact support."
P15,R15_B,B,We can help apply your code. Please Select order (or cart) details and the promo code text; we'll check eligibility and help you apply it.
